Genus,Species,N,Tmax,max_metric,error,error measure,Multiple measures,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N_1,tmin,min_metric,error_2,error_type,Multiple measures_min,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ,name,Class
Pacifastacus,leniusculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3,ctmin,NA,NA,Y,15,0.0167,46.2,-119,NA,Becker_et_al_1977,2,Arthropoda,Malacostraca,Decapoda,Astacidae,NA,Pacifastacus leniusculus,Crayfish
Miniopterus,schreibersii,40,37.5,UTNZ,NA,NA,N,F,NA,-13.3,130.8,NA,Baudinette_et_al_2000,1,40,32.5,LTNZ,NA,NA,N,F,NA,-13.3,130.8,NA,Baudinette_et_al_2000,1,Chordata,Mammalia,Chiroptera,Vespertilionidae,2,Miniopterus schreibersii,Mammal
Rattus,rattus,6,33,UTNZ,NA,NA,N,25,NA,-18.77,136.07,NA,Collins_&_Bradshaw_1973,1,6,26.25,LTNZ,NA,NA,N,25,NA,-18.77,136.07,NA,Collins_&_Bradshaw_1973,1,Chordata,Mammalia,Rodentia,Muridae,1,Rattus rattus,Mammal
Neomys,anomalus,11,30,UTNZ,NA,NA,N,18,NA,52.72,23.65,NA,Gebczynska_&_Gebczynski_1965,1,11,25,LTNZ,NA,NA,N,18,NA,52.72,23.65,NA,Gebczynska_&_Gebczynski_1965,1,Chordata,Mammalia,Insectivora,Soricidae,2,Neomys anomalus,Mammal
Neomys,fodiens,17,30,UTNZ,NA,NA,N,18,NA,52.72,23.65,NA,Gebczynska_&_Gebczynski_1965,1,17,25,LTNZ,NA,NA,N,18,NA,52.72,23.65,NA,Gebczynska_&_Gebczynski_1965,1,Chordata,Mammalia,Insectivora,Soricidae,2,Neomys fodiens,Mammal
Ondatra,zibethicus,3,30,UTNZ,NA,NA,N,20,NA,40.71,-74.01,NA,McNab_1992,1,3,15,LTNZ,NA,NA,N,20,NA,40.71,-74.01,NA,McNab_1992,1,Chordata,Mammalia,Rodentia,Cricetidae,2,Ondatra zibethicus,Mammal
Crocidura,russula,7,35,UTNZ,NA,NA,N,F,NA,46.51,6.63,NA,Sparti_1990,1,7,27.5,LTNZ,NA,NA,N,F,NA,46.51,6.63,NA,Sparti_1990,1,Chordata,Mammalia,Insectivora,Soricidae,1,Crocidura russula,Mammal
Crocidura,suaveolens,4,35,UTNZ,NA,NA,N,F,NA,46.22,8.74,NA,Sparti_1990,1,4,27.5,LTNZ,NA,NA,N,F,NA,46.22,8.74,NA,Sparti_1990,1,Chordata,Mammalia,Insectivora,Soricidae,1,Crocidura suaveolens,Mammal
Vulpes,vulpes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-13,LTNZ,NA,NA,N,NA,NA,69.1,-151.46,NA,Irving_et_al_1955,1,Chordata,Mammalia,Carnivora,Canidae,NA,Vulpes vulpes,Mammal
Sorex,minutus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,22,LTNZ,NA,NA,N,NA,NA,53.28,6.15,NA,McDevitt_&_Andrews_1995,1,Chordata,Mammalia,Insectivora,Soricidae,NA,Sorex minutus,Mammal
Erinaceus,europaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,26,LTNZ,NA,NA,N,NA,NA,32,34.8,NA,Shkolnik_&_Schmidt-Nielsen_1976,1,Chordata,Mammalia,Insectivora,Erinaceidae,NA,Erinaceus europaeus,Mammal
Sorex,alpinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,LTNZ,NA,NA,N,F,NA,46.18,6.54,NA,Sparti_1990,1,Chordata,Mammalia,Insectivora,Soricidae,NA,Sorex alpinus,Mammal
Atrichum,undulatum,8,46.6,ctmax,0.5,SD,N,NA,NA,51,10,375,Meyer_&_Santarius_1998,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Polytrichopsida,Polytrichales,Polytrichaceae,NA,Atrichum undulatum,Moss
Polytrichum,formosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,-29.5,LT50,NA,NA,N,NA,NA,51,6.8,50,R<fc>tten_&_Santarius_1992,1,Streptophyta,Polytrichopsida,Polytrichales,Polytrichaceae,NA,Polytrichum formosum,Moss
Aegopodium,podagraria,10,45.4,LT50,NA,NA,Y,NA,NA,NA,NA,NA,Bilger_et_al_1984,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Apiales,Apiaceae,NA,Aegopodium podagraria,Plant
Asarum,europaeum,10,48.5,LT50,NA,NA,Y,30,0.7,NA,NA,NA,Bilger_et_al_1984,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Piperales,Aristolochiaceae,NA,Asarum europaeum,Plant
Geranium,robertianum,10,41.9,LT50,NA,NA,Y,NA,NA,NA,NA,NA,Bilger_et_al_1984,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Geraniales,Geraniaceae,NA,Geranium robertianum,Plant
Hedera,helix,10,46.3,LT50,NA,NA,Y,NA,NA,NA,NA,NA,Bilger_et_al_1984,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Apiales,Araliaceae,NA,Hedera helix,Plant
Helleborus,foetidus,10,47.7,LT50,NA,NA,Y,NA,NA,NA,NA,NA,Bilger_et_al_1984,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Ranunculales,Ranunculaceae,NA,Helleborus foetidus,Plant
Impatiens,parviflora,10,39.8,LT50,NA,NA,Y,30,0.7,NA,NA,NA,Bilger_et_al_1984,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Ericales,Balsaminaceae,NA,Impatiens parviflora,Plant
Ligustrum,vulgare,10,46.8,LT50,NA,NA,Y,30,0.7,NA,NA,NA,Bilger_et_al_1984,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Lamiales,Oleaceae,NA,Ligustrum vulgare,Plant
Teucrium,chamaedrys,10,47.5,LT50,NA,NA,Y,NA,NA,NA,NA,NA,Bilger_et_al_1984,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Lamiales,Lamiaceae,NA,Teucrium chamaedrys,Plant
Vinca,minor,8,51.8,LT50,NA,NA,Y,NA,NA,NA,NA,NA,Bilger_et_al_1984,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Gentianales,Apocynaceae,NA,Vinca minor,Plant
Vitis,vinifera,10,47.5,LT50,NA,NA,Y,NA,NA,NA,NA,NA,Bilger_et_al_1984,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Vitales,Vitaceae,NA,Vitis vinifera,Plant
Cupressus,sempervirens,5,49.3,ctmax,0.4,SE,N,30,1,42.49,2.25,770,Froux_et_al_2004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Cupressales,Cupressaceae,NA,Cupressus sempervirens,Plant
Pinus,nigra,5,47.2,ctmax,1.8,SE,N,30,1,42.49,2.25,770,Froux_et_al_2004,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Pinales,Pinaceae,NA,Pinus nigra,Plant
Quercus,ilex,10,42.6,ct50,0.3,SE,N,NA,1,39.69,-5.36,690,Gimeno_et_al_2009,1,10,-8.1,ct50,0.2,SE,N,NA,1,39.69,-5.36,690,Gimeno_et_al_2009,1,Streptophyta,Spermatophyta,Fagales,Fagaceae,NA,Quercus ilex,Plant
Achillea,millefolium,6,41.5,ct50,NA,NA,N,NA,0.5,40.3,-3.7,600,Godoy_et_al_2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Asterales,Asteraceae,NA,Achillea millefolium,Plant
Colutea,arborescens,6,42,ct50,NA,NA,N,NA,0.5,40.3,-3.7,600,Godoy_et_al_2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Fabales,Fabaceae,NA,Colutea arborescens,Plant
Epilobium,hirsutum,6,45.4,ct50,NA,NA,N,NA,0.5,40.3,-3.7,600,Godoy_et_al_2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Myrtales,Onagraceae,NA,Epilobium hirsutum,Plant
Rhamnus,alaternus,6,44.5,ct50,NA,NA,N,NA,0.5,40.3,-3.7,600,Godoy_et_al_2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Rosales,Rhamnaceae,NA,Rhamnus alaternus,Plant
Silene,acaulis,60,51.7,LT50,0.2,SD,N,NA,NA,47.2,11.5,600,Neuner_et_al_2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Streptophyta,Spermatophyta,Caryophyllales,Caryophyllaceae,NA,Silene acaulis,Plant
Bromus,rubens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,-30,LT50,1.9,SD,N,F,0.075,32.4,-110.75,1800,Bykova_&_Sage_2012,1,Streptophyta,Spermatophyta,Poales,Poaceae,NA,Bromus rubens,Plant
Bromus,tectorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,-30.9,LT50,0.7,SD,N,F,0.075,32.4,-110.75,1800,Bykova_&_Sage_2012,1,Streptophyta,Spermatophyta,Poales,Poaceae,NA,Bromus tectorum,Plant
Quercus,rubra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-39,LT50,NA,NA,N,NA,NA,43.04,-73,340,Gurney_et_al_2011,1,Streptophyta,Spermatophyta,Fagales,Fagaceae,NA,Quercus rubra,Plant
Sphagnum,fuscum,NA,57.7,LT50,NA,NA,N,NA,NA,61,28,70,Balagurova_et_al_1996,1,NA,-16.9,LT50,NA,NA,N,NA,NA,61,28,70,Balagurova_et_al_1996,1,Streptophyta,Sphagnopsida,Sphagnales,Sphagnaceae,NA,Sphagnum fuscum,Moss
Sphagnum,magellanicum,NA,58.1,LT50,NA,NA,N,NA,NA,61,28,70,Balagurova_et_al_1996,1,NA,-16.4,LT50,NA,NA,N,NA,NA,61,28,70,Balagurova_et_al_1996,1,Streptophyta,Sphagnopsida,Sphagnales,Sphagnaceae,NA,Sphagnum magellanicum,Moss
Sphagnum,subsecundum,NA,59.7,LT50,NA,NA,N,NA,NA,61,28,70,Balagurova_et_al_1996,1,NA,-21.5,LT50,NA,NA,N,NA,NA,61,28,70,Balagurova_et_al_1996,1,Streptophyta,Sphagnopsida,Sphagnales,Sphagnaceae,NA,Sphagnum subsecundum,Moss
Sphagnum,teres,NA,59.2,LT50,NA,NA,N,NA,NA,61,28,70,Balagurova_et_al_1996,1,NA,-18.5,LT50,NA,NA,N,NA,NA,61,28,70,Balagurova_et_al_1996,1,Streptophyta,Sphagnopsida,Sphagnales,Sphagnaceae,NA,Sphagnum teres,Moss
Sphagnum,capillifolium,5,49.9,LT50,2,SD,N,NA,1,46.86,10.89,1998,Buchner_&_Neuner_2010,1,5,-16.1,LT50,1.3,SD,N,NA,1,46.86,10.89,1998,Buchner_&_Neuner_2010,1,Streptophyta,Sphagnopsida,Sphagnales,Sphagnaceae,NA,Sphagnum capillifolium,Moss
