PHYLUM,CLASS,ORDER,SPECIES
Ascomycota,Sordariomycetes,Diaporthales,Gnomonia rostellata
Basidiomycota,Agaricomycetes,Agaricales,Agaricus cappellii
Basidiomycota,Agaricomycetes,Agaricales,Entoloma reinwaldii
Amoebozoa,Myxogastrea,Stemonitida,Stemonitis pallida
Chytridiomycota,Chytridiomycetes,Chytridiales,Synchytrium aureum
Ascomycota,Pezizomycetes,Pezizales,Trichophaea variornata
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius deceptivus
Basidiomycota,Ustilaginomycetes,Ustilaginales,Anthracoidea pulicaris
Basidiomycota,Agaricomycetes,Gomphales,Ramaria spec.
Oomycota,Peronosporea,Albuginales,Wilsoniana bliti
Oomycota,Peronosporea,Peronosporales,Peronospora lotorum
Ascomycota,Pezizomycetes,Pezizales,Octospora rubens
Ascomycota,Leotiomycetes,Rhytismatales,Pezizella spec.
Ascomycota,Leotiomycetes,Rhytismatales,Tryblidiopsis picea
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius psittacinus
Basidiomycota,Agaricomycetes,Agaricales,Agaricus floccipes
Basidiomycota,Agaricomycetes,Agaricales,Haasiella splendidissima
Basidiomycota,Agaricomycetes,Russulales,Dendrophora erumpens
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius betulaecomes
Basidiomycota,Agaricomycetes,Boletales,Paxillus validus
Basidiomycota,Agaricomycetes,Agaricales,Entoloma xanthocaulon
Basidiomycota,Pucciniomycetes,Pucciniales,Puccinia crepidicola
Ascomycota,Dothideomycetes,Pleosporales,Pleospora brachyspora
Ascomycota,Sordariomycetes,Incertae sedis,Arthrinium caricicola
Ascomycota,Leotiomycetes,Rhytismatales,Pezizella nigrocorticata
Basidiomycota,Agaricomycetes,Cantharellales,Sistotrema alni
Entomophthoromycota,Entomophthoromycetes,Entomophthorales,Erynia neoaphidis
Basidiomycota,Agaricomycetes,Hymenochaetales,Trichaptum biforme
Ascomycota,Sordariomycetes,Hypocreales,Polycephalomyces ramosus
Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeria caricis
Ascomycota,Sordariomycetes,Magnaporthales,Ceratosphaeria lampadophora
Ascomycota,Leotiomycetes,Rhytismatales,Meloderma desmazieri
Ascomycota,Dothideomycetes,Capnodiales,Septoria stachydis
Oomycota,Peronosporea,Peronosporales,Plasmopara baudysii
Ascomycota,Leotiomycetes,Helotiales,Phaeohelotium vasaense
Ascomycota,Leotiomycetes,Helotiales,Pezicula pallidula
Ascomycota,Sordariomycetes,Sordariales,Schizothecium glutinans
Ascomycota,Dothideomycetes,Pleosporales,Sporormiella corynespora
Ascomycota,Sordariomycetes,Sordariales,Schizothecium hispidulum
Basidiomycota,Agaricomycetes,Agaricales,Clitocybe paropsis
Ascomycota,Incertae sedis,Incertae sedis,Endophragmia atra
Oomycota,Peronosporea,Peronosporales,Peronospora violae
Basidiomycota,Agaricomycetes,Agaricales,Psathyrella hispida
Oomycota,Peronosporea,Peronosporales,Peronospora polygoni
Basidiomycota,Agaricomycetes,Agaricales,Hygrophorus calophyllus
Ascomycota,Sordariomycetes,Coronophorales,Chaetosphaerella fusca
Basidiomycota,Agaricomycetes,Agaricales,Pholiotina subnuda
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius subcompactus
Basidiomycota,Agaricomycetes,Agaricales,Arrhenia fissa
Basidiomycota,Agaricomycetes,Agaricales,Stropharia eximia
Ascomycota,Leotiomycetes,Rhytismatales,Cistella caricis
Basidiomycota,Agaricomycetes,Agaricales,Gymnopus benoistii
Basidiomycota,Agaricomycetes,Agaricales,Melanophyllum eyrei
Basidiomycota,Agaricomycetes,Agaricales,Entoloma eximium
Ascomycota,Sordariomycetes,Hypocreales,Gibberella zeae
Basidiomycota,Agaricomycetes,Polyporales,Phlebia lindtneri
Basidiomycota,Agaricomycetes,Agaricales,Inocybe albofibrillosa
Basidiomycota,Agaricomycetes,Agaricales,Psathyrella battarrae
Basidiomycota,Agaricomycetes,Agaricales,Galerina subbadipes
Basidiomycota,Agaricomycetes,Agaricales,Entoloma rufocarneum
Basidiomycota,Agaricomycetes,Agaricales,Panaeolus speciosus
Basidiomycota,Agaricomycetes,Polyporales,Phlebia ochraceofulva
Basidiomycota,Agaricomycetes,Russulales,Elasmomyces mattiroloanus
Basidiomycota,Agaricomycetes,Polyporales,Skeletocutis subsphaerospora
Ascomycota,Sordariomycetes,Diaporthales,Valsa pruinosa
Basidiomycota,Ustilaginomycetes,Ustilaginales,Anthracoidea spec.
Ascomycota,Sordariomycetes,Hypocreales,Calcarisporium arbuscula
Basidiomycota,Agaricomycetes,Agaricales,Entoloma caliginosus
Ascomycota,Leotiomycetes,Rhytismatales,Terriera cladophila
Ascomycota,Laboulbeniomycetes,Laboulbeniales,Eucantharomyces spec.
Ascomycota,Dothideomycetes,Capnodiales,Ramularia interstitialis
Ascomycota,Leotiomycetes,Rhytismatales,Merostictis spec.
Ascomycota,Dothideomycetes,Venturiales,Venturia cerasi
Basidiomycota,Agaricomycetes,Agaricales,Hebeloma cylindrosporum
Basidiomycota,Agaricomycetes,Russulales,Gloiodon strigosus
Oomycota,Peronosporea,Peronosporales,Peronospora chrysosplenii
