Species,Taxon,Body Mass,LTNZ,UTNZ,TNZ,Latitude,Longitude,Acclimatization*,Reference
,,(g),(°C),(°C),(°C),(°N),(°W),,
Atelerix albiventris,Erinaceidae,450,30,35,5,-0.48,11.363,W,McNab 1980
Erinaceus concolor,Erinaceidae,822.7,27.5,31.5,4,50,20,W,Krol 1994
,Eulipotyphla,,,,,,,,
Crocidura russula,Soricidae,10.4,27.5,35,7.5,46.51,6.63,W,Sparti 1990
Crocidura suaveolens,Soricidae,6.5,27.5,35,7.5,46.22,8.742,W,Sparti 1990
,Hyracoidae,,,,,,,,
Heterohyrax brucei,Procaviidae,2000,25,35,10,-1.173,36.49,W,Bartholomew and Rainey 1971
Procavia capensis,Hyracoidea,2400,27,35,8,0.22,37.54,A,"Rubsamen et al ., 1979"
,Lagomorpha,,,,,,,,
Brachylagus idahoensis,Leporidae,432,17.5,25.5,8,41.6,-106.35,W,"Katzner et al ., 1997"
Lepus alleni,Leporidae,3362,25,35,10,32.148,-111.1,W,Dawson and Schmidt-Nielsen 1966
Sylvilagus audubonii,Leporidae,672.4,28,40,12,32.137,-110.55,A,Hinds 1973
,Macroscelidae,,,,,,,,
Elephantulus edwardii,Macroscelididae,49.8,32.5,36,3.5,-32.28,21.15,A,"Leon et al ., 1983"
Macroscelides proboscideus,Macroscelididae,45,35,38,3,-32.29,26.41,W,Roxburg and Perrin 1994
,Monotremata,,,,,,,,
Zaglossus bruijni,Tachyglossidae,10300,18,33,15,-5.0778,140.444,A,McNab 1984
,Peramelemorpha,,,,,,,,
Isoodon obesulus,Peramelidae,1020,25,35,10,-31.95,115.85,W,Larcombe 2002
,,,,,,,,,
Macrotis lagotis,Thylacomyidae,1011,27,35,8,-26.08,126.34,W,Kinnear and Shield 1975
,Pilosa,,,,,,,,
Tamandua tetradactyla,Myrmecophagidae,3500,23,35,12,-23.442,-58.444,A,McNab 1984
,Primates,,,,,,,,
Callithrix pygmaea,Cebidae,153,27,34,7,47.36,-8.53,A,"Genoud et al ., 1997"
Saimiri sciureus,Cebidae,850,25,35,10,-5.391,-62.292,A,Stitt and Hardy 1971; Malinow and Wagner
,,,,,,,,,1966
Colobus guereza,Cercopithecidae,10500,5,28,23,-1.172,36.475,A,"Muller et al ., 1983"
Macaca fuscata,Cercopithecidae,9.55,32.5,35,2.5,36,138,W,"Nakayama et al ., 1971"
Microcebus murinus,Cheirogaleidae,105,25,28,3,48.7,2.5,A,"Aujard et al ., 1998"
Eulemur fulvus,Lemuridae,2330,30,40,10,29.395,-82.194,W,Daniel 1984
Perodicticus potto,Lorisidae,1090,25,29,4,-1.48,11.362,W,Hildwein and Goffart 1975
Nycticebus coucang,Lorisidae,1300,25,33,8,4.12,101.58,A,Muller 1979
Nycticebus pygmaeus,Lorisidae,388,27.5,35,7.5,23.07,104.03,W,"Xiao C et al ., 2010"
Tarsius syrichta,Tarsiidae,125,32,35,3,9.849,124.143,A,McNab and Wright 1987
,Rodentia,,,,,,,,
Aplodontia rufa,Aplodontidae,630,26.5,35,8.5,44.3,-123.33,W,McNab 1979
Cryptomys hottentotus,Bathyergidae,102,28,32,4,-15.23,28.21,W,"Bennett et al ., 1994"
Cryptomys bocagei,Bathyergidae,94,31.5,32.5,1,-14.53,13.28,W,"Bennett et al ., 1994"
Cryptomys mechowi,Bathyergidae,267,29,30,1,-12.271,27.51,W,"Bennett et al ., 1994"
Cryptomys damarensis,Bathyergidae,124,27,31,4,-25.47,20.01,W,Lovegrove 1986
Georychus capensis,Bathyergidae,192.6,26.3,34,7.7,-34.12,18.23,W,Lovvegrove 1987
Heterocephalus glaber,Bathyergidae,39.2,31,37,6,-2.45,36.495,A,McNab 1966
Dolichotis salinicola,Caviidae,1613,28,37,9,-23.26,-58.57,A,Arends and McNab 2001
Kerodon rupestris,Caviidae,801,27,36,9,-12.31,-44.09,A,Arends and McNab 2001
Hydrochoerus hydrochaeris,Caviidae,26400,22,33,11,7.15,-66.08,A,Arends and McNab 2001
Microtus guentheri,Cricetidae,51.3,30,34,4,32.233,34.48,W,"Banin et al ., 1993"
Microtus californicus,Cricetidae,44,33,40,7,33.3,-116.03,W,"Bell et al ., 1986"
Microtus longicaudus,Cricetidae,26.9,26.5,33.5,7,46.08,-117.8,W,"Bell et al ., 1986"
Phyllotis darwini,Cricetidae,59,27.5,34,6.5,-45.544,-71.223,W,Bozinovic and Rosenmann 1988
Loxodontomys micropus,Cricetidae,62.3,22,33,11,-34.57,-70.82,W,Bozinovic and Rosenmann 1988
Peromyscus maniculatus,Cricetidae,17,29,37,8,43.581,-74.235,W,Brower and Cade 1966
Megadontomys thomasi,Cricetidae,111,28,35,7,17.55,-99.5,W,Buffenstein and Jarvis 1985
Myodes gapperi,Cricetidae,20.8,26,34,8,39.69,-105.64,W,Deavers and Hudson 1981
Peromyscus leucopus,Cricetidae,21.2,27.5,34.5,7,42.277,-76.322,W,Deavers and Hudson 1981
Isthmomys pirrensis,Cricetidae,140.4,32,34,2,7.52,-77.5,A,Hill 1975
Microtus arvalis,Cricetidae,24,20,30,10,52.34,11.09,W,Jansky 1959
Ochrotomys nuttalli,Cricetidae,19.5,29.5,36,6.5,29.15,-83.16,W,Layne and Dolan 1975
Peromyscus gossypinus,Cricetidae,21.5,29.7,35.3,5.6,29.397,-82.185,W,Layne and Dolan 1975
Neotoma lepida,Cricetidae,106,31,35,4,35.32,-115.2,W,McNab 1966
Oxymycterus roberti,Cricetidae,83.5,33,34,1,-15.577,-49.36,A,McNab 1984
,,,,,,,,,
Neofiber alleni,Cricetidae,258.1,25,34,9,29.79,82.49,W,McNab 1992
Ondatra zibethicus,Cricetidae,1004.6,15,30,15,40.71,-74.006,A,McNab 1992
