species,tmax (°C),tmin (°C),tmax metric,tmin metric,acclim-ated (Y/N),latitude collected,hemis-phere,altitude >600 m,habitat,phylum,class,order,family,Ref.
Eurycea bislineata,35,-2,crit.,crit.,Y,39.7,N,300,terr.,Chordata,Amphibia,Caudata,Plethodontidae,43
Rana sylvaticus,33.9,0.5,crit.,crit.,N,42.6,N,67,terr.,Chordata,Amphibia,Anura,Ranidae,44
Xantusia riversiana,39,6.6,crit.,crit.,N,32.9,N,250,terr.,Chordata,Reptilia,Squamata,Xantusiidae,45
Hodotermes mossambicus,48,6,crit.,crit.,Y,28,S,no data,terr.,Arthropoda,Insecta,Isoptera,Hodotermitidae,47
Drosophila albomicans,33,-1.5,crit.,leth.,Y,26.5,N,50,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,50
Drosophila curviceps,30,-5.5,crit.,leth.,Y,36.5,N,1600,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,50
Drosophila immigrans,31.5,-1.5,crit.,leth.,Y,43,N,30,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,50
Onymacris bicolor,49,9,crit.,crit.,N,22,S,no data,terr.,Arthropoda,Insecta,Coleoptera,Tenebrionidae,56
Onymacris marginipennis,47.4,9.4,crit.,crit.,N,22,S,no data,terr.,Arthropoda,Insecta,Coleoptera,Tenebrionidae,56
Onymacris plana,48.9,10.5,crit.,crit.,N,22,S,no data,terr.,Arthropoda,Insecta,Coleoptera,Tenebrionidae,56
Onymacris rugatipennis,50.5,10.5,crit.,crit.,N,22,S,no data,terr.,Arthropoda,Insecta,Coleoptera,Tenebrionidae,56
Onymacris unguicularis,50.4,12.3,crit.,crit.,N,22,S,no data,terr.,Arthropoda,Insecta,Coleoptera,Tenebrionidae,56
Physadesmia globosa,50.8,13.7,crit.,crit.,N,22,S,no data,terr.,Arthropoda,Insecta,Coleoptera,Tenebrionidae,56
Misumenoides formosipes,48.2,2.2,crit.,crit.,N,40.5,N,36.9,terr.,Arthropoda,Arachnida,Araneae,Thomisidae,57
Misumenops asperatus,45.1,-1.4,crit.,crit.,N,40.5,N,36.9,terr.,Arthropoda,Arachnida,Araneae,Thomisidae,57
